Date_time,country,UFO_shape
10/10/2008 20:00,us,light
10/10/2008 20:40,us,light
10/10/2008 21:30,us,oval
10/10/2008 22:00,us,disk
10/10/2008 22:30,us,circle
10/10/2008 23:15,us,sphere
10/10/2009 12:00,us,egg
10/10/2009 12:42,us,unknown
10/10/2009 16:24,us,unknown
10/10/2009 19:30,us,unknown
10/10/2009 20:30,us,light
10/10/2009 20:45,us,light
10/10/2009 21:00,us,disk
10/10/2009 23:00,us,changing
10/10/2009 23:23,us,light
10/10/2010 01:00,us,light
10/10/2010 02:30,us,circle
10/10/2010 03:00,us,circle
10/10/2010 08:30,us,formation
10/10/2010 12:00,us,light
10/10/2010 13:00,us,light
10/10/2010 15:00,,triangle
10/10/2010 16:30,us,cigar
10/10/2010 17:10,us,light
10/10/2010 18:30,us,triangle
10/10/2010 20:00,us,oval
10/10/2010 20:20,us,fireball
10/10/2010 20:45,us,cylinder
10/10/2010 21:00,us,other
10/10/2010 21:00,us,disk
10/10/2010 21:30,us,circle
10/10/2010 22:30,us,egg
10/10/2010 23:00,us,changing
10/10/2011 00:00,us,triangle
10/10/2011 01:00,us,circle
10/10/2011 02:00,us,other
10/10/2011 10:30,us,circle
10/10/2011 14:00,gb,oval
10/10/2011 14:30,us,oval
10/10/2011 15:00,us,disk
10/10/2011 18:15,,flash
10/10/2011 19:00,us,light
10/10/2011 19:30,,
10/10/2011 20:00,ca,flash
10/10/2011 20:00,us,fireball
10/10/2011 21:00,us,fireball
10/10/2011 21:00,us,circle
10/10/2011 21:55,us,circle
10/10/2011 23:00,us,triangle
10/10/2012 10:15,us,circle
10/10/2012 15:00,,triangle
10/10/2012 18:56,us,sphere
10/10/2012 19:09,us,oval
10/10/2012 19:40,us,light
10/10/2012 19:45,us,circle
10/10/2012 20:00,us,light
10/10/2012 20:00,us,changing
10/10/2012 20:15,us,disk
10/10/2012 20:17,,triangle
10/10/2012 20:30,us,fireball
10/10/2012 20:30,us,light
10/10/2012 20:30,us,other
10/10/2012 20:45,us,sphere
10/10/2012 20:48,us,light
10/10/2012 21:00,us,changing
10/10/2012 21:00,us,cigar
10/10/2012 21:00,us,light
10/10/2012 23:01,us,cylinder
10/10/2012 23:20,us,rectangle
10/10/2013 00:00,,light
10/10/2013 02:32,us,chevron
10/10/2013 05:00,,triangle
10/10/2013 17:00,us,light
10/10/2013 17:10,ca,light
10/10/2013 19:00,us,light
10/10/2013 19:15,ca,light
10/10/2013 19:20,us,light
10/10/2013 19:20,us,circle
10/10/2013 20:00,us,circle
10/10/2013 20:00,us,light
10/10/2013 20:30,us,light
10/10/2013 20:30,us,circle
10/10/2013 20:32,us,sphere
